*Vertices     100
*Arcs
*Edges        227
       0       8        2
       0      24        5
       1       8        2
       1      24        5
       2      70        1
       2      80        1
       3      15        1
       3      53        1
       4       5        1
       4      13        1
       5      13        1
       5      29        1
       6      52        1
       6      57        1
       7      10        1
       7      11        1
       8      35        1
       8      46        1
       9      11        1
       9      80        1
      10      11        1
      10      14        1
      11      23        1
      11      71        1
      12      18        1
      12      61        1
      13      26        1
      13      28        1
      14      60        1
      14      70        1
      15      48        1
      15      81        1
      16      48        1
      16      78        1
      17      19        1
      17      29        1
      18      31        1
      18      50        1
      19      20        1
      19      31        1
      19      49        1
      20      24        1
      20      87        1
      21      81        1
      21      83        1
      21      98        1
      22      43        1
      22      99        1
      23      32        1
      23      38        1
      24      35        1
      24      42        1
      24      48        1
      25      92        1
      26      28        1
      26      77        1
      26      96        1
      27      29        1
      27      51        1
      27      96        1
      28      29        1
      28      73        1
      28      77        1
      28      85        1
      29      77        1
      29      86        1
      30      34        1
      30      32        1
      31      53        1
      31      54        1
      31      60        1
      32      33        1
      32      62        1
      32      91        1
      33      35        1
      33      58        1
      34      83        1
      34      35        1
      35      58        1
      35      65        1
      35      68        1
      35      98        1
      36      49        1
      36      53        1
      36      83        1
      37      38        1
      37      56        1
      38      40        1
      38      44        1
      38      63        1
      39      51        1
      39      80        1
      40      44        1
      40      58        1
      40      62        1
      41      45        1
      41      77        1
      41      97        1
      42      50        1
      42      81        1
      43      81        1
      43      98        1
      43      99        1
      44      50        1
      44      58        1
      44      99        1
      45      77        1
      45      88        1
      45      97        1
      46      50        1
      46      60        1
      46      81        1
      46      99        1
      47      48        1
      48      81        1
      48      91        1
      49      54        1
      49      57        1
      49      90        1
      50      53        1
      50      81        1
      50      88        1
      51      76        1
      51      79        1
      51      96        1
      52      53        1
      53      54        1
      53      88        1
      54      55        1
      54      56        1
      54      96        1
      55      83        1
      56      61        1
      56      67        1
      56      81        1
      56      88        1
      57      60        1
      57      61        1
      57      89        1
      58      65        1
      58      66        1
      58      99        1
      59      60        1
      60      93        1
      60      94        1
      60      99        1
      61      31        1
      61      70        1
      62      17        1
      62      44        1
      62      63        1
      63      64        1
      64      66        1
      64      98        1
      64      99        1
      65      66        1
      65      98        1
      65      99        1
      66      98        1
      66      99        1
      67      70        1
      67      81        1
      67      83        1
      68      99        1
      69      70        1
      69      95        1
      69      96        1
      69      99        1
      70      94        1
      70      95        1
      70      96        1
      70      99        1
      71      29        1
      71      69        1
      72      81        1
      72      88        1
      73      77        1
      73      85        1
      73      96        1
      73      99        1
      74      79        1 
      74      99        1
      75      76        1
      76      79        1
      76      96        1
      77      90        1
      77      96        1
      77      97        1
      78      80        1
      78      88        1
      79      86        1
      79      96        1
      80      91        1
      81      83        1
      81      98        1
      81      99        1
      82      33        1
      82      63        1
      82      88        1
      83      36        1
      83      70        1
      84      83        1
      84      89        1
      85      66        1
      85      88        1
      86      88        1
      87      90        1
      87      19        1
      87      63        1
      88      24        1
      88      69        1
      89      90        1
      90      23        1
      90      67        1
      90      93        1
      91      45        1
      92      66        1
      93      55        1
      94      92        1
      94      59        1
      95      49        1
      95      94        1
      96      94        1
      97      99        1
      98      99        1
      99      63        1
